단원,단어,뜻
14 단원,intricate,"복잡한, 얽힌; 난해한"
14 단원,intrigue,"호기심을 자극하다; 음모를 꾸미다; 음모, 계략"
14 단원,shrub,관목
14 단원,primate,영장류; (가톨릭) 대주교
14 단원,primary,"주된, 주요한; 제1의; 최초의, 초기의; 초보의, 초등의"
14 단원,peer,"동료, 또래; (능력 등이) 동등한 사람; (가치·질이) 동등한 것; 응시하다, 주시하다; (보일 듯 말 듯) 나타나다, 보이기 시작하다"
14 단원,show off,~을 뽐내다[자랑하다]; 돋보이게 하다
14 단원,go all out for,"(~에) 전력을 다하다, 총력을 기울이다"
14 단원,be accused of,~으로 고소[기소]되다; ~으로 비난받다
14 단원,every now and then,"때때로, 가끔"
14 단원,from time to time,"이따금, 가끔"
14 단원,put off,~을 미루다[연기하다]
15 단원,opposite,"반대쪽의, 마주보고 있는; 정반대의; 반대의 사람[일/물건]"
15 단원,accompany,"동반하다, 동행하다; 수반하다, 동시에 일어나다; (악기로) 반주하다"
15 단원,foundation,"토대, 기초; 설립, 창립; 재단"
15 단원,vulnerable,"취약한, 상처[비난]받기 쉬운; 약점이 있는"
15 단원,disrupt,"방해하다, 지장을 주다; 분열시키다, 붕괴시키다"
15 단원,disturb,방해하다; 불안하게 하다; (고요함 등을) 어지럽히다
15 단원,auditory,"청각(기관)의, 귀의"
15 단원,alien,"용납되지 않는; 이질적인; 외국의, 외래의; 외계의; 외국인; 외계인"
15 단원,dispute,"논의, 논쟁; 분쟁; 논의하다, 논쟁하다; 분쟁을 벌이다; 이의를 제기하다, 반박하다"
15 단원,controversy,"논란, 논쟁"
15 단원,interference,"방해, 훼방; 간섭, 참견, 개입"
15 단원,transplant,"이식하다, 옮겨 심다; 이주하다[시키다]; 이식; 이주"
15 단원,doctorate,박사 학위
15 단원,pirate,"해적; 저작권 침해자; 해적 행위를 하다; 약탈하다; 저작권을 침해하다, 불법 복제하다"
15 단원,disgust,"역겹게 하다, 혐오감을 유발하다; 혐오, 역겨움"
15 단원,aversion,"혐오, 싫음, 반감"
15 단원,intention,"의도, 의사; 목적; 개념, 관념"
15 단원,intervention,"개입, 간섭; 조정, 중재"
15 단원,console,"위로하다, 위안을 주다"
15 단원,consolidate,"(권력·지위 등을) 강화하다, 굳히다; 통합하다, 합병하다"
15 단원,simultaneous,"동시의, 동시에 일어나는"
15 단원,transaction,"거래, 업무; 매매"
15 단원,translation,"번역, 통역; 해석"
15 단원,square,정사각형; 광장; 정사각형의; 직각의; 제곱[평방]의; 정사각형으로 만들다
15 단원,drop out,중퇴하다; (참여하던 것에서) 빠지다
15 단원,go off,"(경보기 등이)울리다; 발사되다, 폭발하다; (무엇을 하러) 자리를 뜨다"
15 단원,add up to,결국 ~이 되다; 합계 ~가 되다
15 단원,fall on,"~에게 (책임 등이) 주어지다; (날짜가) ~에 해당하다; 우연히 만나다, 마주치다"
15 단원,put out,(불을) 끄다; (쓰레기 등을) 내다 놓다
15 단원,keep track of,~을 기록하다; ~의 자국을 뒤밟다
16 단원,commercial,상업의; 영리적인; (상업) 광고
16 단원,crime,"범죄, 범행; 죄악"
16 단원,manipulate,"(기계 등을) 잘 다루다, 조작하다; (여론 등을) 조종하다; 교묘하게 조작하다"
16 단원,accelerate,"빠르게 하다, 가속하다; 촉진하다"
16 단원,distract,"(마음·주의 등을) 흩뜨리다, 산만하게 하다; 괴롭히다, 혼란시키다"
16 단원,creep,"기다, 포복하다; 살금살금 움직이다"
16 단원,automate,자동화하다; 자동 조종하다
16 단원,depress,"우울하게 만들다, 낙담하게 하다; 침체시키다; 약화시키다"
16 단원,attract,"(주의·흥미 등을) 끌다; 유인하다, 매혹하다"
16 단원,anatomy,"(해부학적) 구조; 해부, 분석; 해부학"
16 단원,groan,신음하다; 불평하다; 신음 소리; 불평의 소리
16 단원,leverage,"지레의 작용, 지렛대 사용; 이용하다; 영향력; 영향을 주다"
16 단원,plumber,배관공
16 단원,sacred,"성스러운, 신성한; 종교적인"
16 단원,temporal,"현세의, 세속적인; 시간의; 일시적인"
16 단원,analysis,분석; 분해(pl. analyses)
16 단원,personnel,"(pl.)전직원, 총인원; 인사과; 직원의; 인사의"
16 단원,personal,"개인의, 개인적인; 사적인; 인격적인; 사람의"
16 단원,embed,(~에) 꽂아[끼워] 넣다; (마음속에) 깊이 새겨 두다
16 단원,embody,"구현하다, 구체화하다; 통합하다, 포함하다"
16 단원,slope,"경사면, (산)비탈; 경사지다, 기울어지다"
16 단원,ambiguous,"애매한, 모호한; 두 가지 뜻으로 해석되는"
16 단원,ambitious,야망[야심] 있는; 열망하는
16 단원,even,"균등한, 동일한; 일정한; 짝수의; 평평한, 반반한; 고르게 하다; 균형을 맞추다; 심지어, ~조차도; 훨씬"
16 단원,take on,"~을 맡다, ~을 책임지다; 고용하다"
16 단원,go over,~을 검토[조사]하다
16 단원,adhere to,"~을 고수하다, ~을 충실히 지키다"
16 단원,feel free to do,마음 놓고 ~해도 좋다
16 단원,refrain from,~을 삼가다[피하다]
16 단원,hold true,"진실이다; (규칙 등이) 유효하다, 딱 들어맞다"
17 단원,encounter,"만남, 조우; 마주치다, 우연히 만나다"
17 단원,exceed,"넘다, 초과하다; 도를 넘다"
17 단원,transcend,"넘다, 초월하다; 능가하다"
17 단원,mutation,"돌연변이; 변화, 변형"
17 단원,ethnic,민족[종족]의
17 단원,biodiversity,생물 다양성
17 단원,disposal,"처리, 처분; 폐기; 배치, 배열"
17 단원,hatch,"부화하다[시키다], 알이 깨다; 부화"
17 단원,lure,"꾀다, 유혹하다; 유혹, 매력; 미끼"
17 단원,temptation,유혹(물); 마음을 끄는 것
17 단원,valuation,평가; (평가된) 가치
17 단원,enclosure,"울타리를 친 장소, 구내; 동봉(한 것)"
17 단원,anthropological,인류학(상)의
17 단원,descend,"내려오다, 하강하다; 전해지다, 계통을 잇다"
17 단원,feminine,"여성의, 여자의"
17 단원,plunge,뛰어들다; 떨어지다; 뛰어들기; 낙하
17 단원,announce,"발표[공표]하다, 알리다"
17 단원,pronounce,"발음하다; 표명하다, 선언[선고]하다"
17 단원,abstract,"추상적인; 이론적인, 관념적인; 추상화; 개요; 추출하다; 발췌하다; 요약하다"
17 단원,abstain,"삼가다, 자제하다; (투표를) 기권하다"
17 단원,solemn,"엄숙한, 근엄한"
17 단원,comprise,"구성하다, ~로 구성되다; 포함하다"
17 단원,compromise,"타협, 양보; 절충; 타협하다; (명성 등을) 더럽히다, 손상하다"
17 단원,stable,"안정된; 견고한; (성격 등이) 착실한, 지조가 굳은; 마구간, 외양간"
17 단원,make one’s own way,"나아가다, 자신의 길을 개척하다; 출세하다"
17 단원,hit upon,~을 (우연히) 생각해 내다
17 단원,all in all,대체로
17 단원,few and far between,"흔치 않은, 아주 드문"
17 단원,run for,"~에 출마하다, ~에 입후보하다"
17 단원,lay down,"~을 내려놓다; 그만두다, 사임하다; (법 등을) 정하다"
18 단원,illustrate,"설명하다, 예증[예시]하다; 삽화를 쓰다"
18 단원,overwhelm,"압도하다, 제압하다"
18 단원,carpenter,목수[목공]; 목수[목공] 일을 하다
18 단원,exclaim,"소리치다, 외치다"
18 단원,cognition,인식[인지]; 지식
18 단원,disregard,무시[경시]; 무관심; 무시[경시]하다; 소홀히 하다
18 단원,dissolve,"녹다, 용해시키다; (의회·단체 등을) 해산하다; (계약·약속·속박 등을) 해체하다"
18 단원,solidify,"굳어지다, 응고시키다; 단결[결속]시키다; (생각 등을) 확고히 하다"
18 단원,approximation,근사(치); 비슷한[근접한] 것
18 단원,verse,운문; (노래의) 절; (시의) 연; ~에 정통[숙달]하다
18 단원,endow,"기부하다; (능력·자질 등을) 부여하다, 주다"
18 단원,accountable,책임이 있는; 설명할 수 있는
18 단원,predominant,"뛰어난, 우세한; 주된; 지배적인"
18 단원,subordinate,"부차적인; 하위[하급]의, 종속하는; 부하, 하급자; ~을 하위에 두다, 종속시키다"
18 단원,acknowledge,"인정하다, 승인하다; 사례하다, 감사하다"
18 단원,empower,~할 수 있게 하다; (법률상) 권한을 주다
18 단원,explosion,폭발; 폭발적 증가
18 단원,expansion,팽창; 확장[확대]
18 단원,eruption,"(화산의) 폭발, 분화; 분출(물)"
18 단원,erosion,"부식, 침식 (작용)"
18 단원,hollow,"속이 빈, 움푹 꺼진; 공허한; 무의미한; 구멍; 움푹 꺼진 곳"
18 단원,elegant,"우아한, 품위 있는; (과학적으로) 정밀한"
18 단원,eloquent,"능변의, 웅변의; 표현[표정]이 풍부한"
18 단원,principal,"주요한; 제1의, 선두의; 원금의, 자본금의; (단체의) 장, 지배자; 교장, 학장; (연극 등의) 주연; 주동자"
18 단원,stand for,~을 상징[의미]하다; ~을 옹호[찬성]하다
18 단원,hold back,~을 저지[제지]하다; ~을 비밀로 하다
18 단원,approve of,"~을 승인[인정]하다, ~에 찬성하다"
18 단원,find oneself in,~에 있는 신세가 되다
18 단원,search for,~을 찾다; (진리를) 추구[탐구]하다
18 단원,let off,~을 내뿜다; (총을) 발사하다; (폭탄 등을) 터뜨리다
19 단원,paradigm,"모범, 전형적인 예; 패러다임(사고의 체계)"
19 단원,recommend,"추천하다, 권(고)하다"
19 단원,proportion,"비율, 부분; 균형"
19 단원,collaboration,"협업[협력], 공동 작업"
19 단원,fake,"가짜[거짓]의, 위조의; 모조품, 위조품; 위조하다"
19 단원,genuine,"진짜의, 진품의; 진실한, 진심 어린"
19 단원,distortion,"(모양의) 비틀림, 뒤틀림; (사실 등의) 왜곡, 곡해"
19 단원,despair,"절망하다, 체념하다; 절망"
19 단원,modest,"겸손한; 보통의, 적당한"
19 단원,villain,"악당, 악인; (영화 등의) 악역"
19 단원,epidemic,"(병 등의) 유행, 확산; 유행병, 전염병; 유행성의, 전염성의"
19 단원,plague,"전염병; 흑사병; (곤충 등의) 떼, 습격; 괴롭히다, 성가시게 하다"
19 단원,presumable,추정할 수 있는; 있음직한
19 단원,conceit,"자만(심), 자부(심); 상상; 기발한 착상"
19 단원,accusation,"고발, 고소; 비난"
19 단원,humanitarian,"인도주의의, 박애의; 인도주의자"
19 단원,suspect,의심하다; 혐의를 두다; 용의자
19 단원,inspect,"검사[점검]하다, 조사하다; (공장 등을) 사찰하다"
19 단원,enforce,"(법률 등을) 시행[실시]하다, 집행하다; 강요하다"
19 단원,reinforce,"강화하다, 보강하다"
19 단원,swarm,"무리, 떼; 군중; 떼를 지어 다니다"
19 단원,altar,(교회의) 제단
19 단원,alter,"바꾸다, 고치다; 변하다, 달라지다"
19 단원,breed,"새끼를 낳다; 사육하다, 번식시키다; (품종을) 개량하다; 야기하다, 불러오다; 품종"
19 단원,stand out,"두각을 나타내다, 돋보이다"
19 단원,in and of itself,그 자체로(는)
19 단원,first and foremost,"무엇보다도, 가장 중요한 것은"
19 단원,shed light on,"~을 조명하다, ~을 비추다[밝히다]"
19 단원,cast light on,"~을 밝히다, ~을 조명하다"
19 단원,level off,안정되다[시키다]
20 단원,tendency,"경향[성향], 기질; 동향, 추세"
20 단원,inclination,"경향[성향], 기질; 기울기, 경사도"
20 단원,adjust,"조정[조절]하다; 적응하다, 순응하다"
20 단원,hierarchy,"계급, 계층, 서열; (pl.)지배층"
20 단원,illuminate,"(빛을) 비추다, 조명하다; 설명하다; 계몽하다"
20 단원,overshadow,"그늘지게 하다, 어둡게 하다; 우울하게 하다"
20 단원,fallacy,오류; 잘못된 생각
20 단원,relief,"안도, 위안; 경감, 완화; 구호(품)"
20 단원,emit,(빛·열 등을) 내다[내뿜다]
20 단원,exhale,"(숨을) 내쉬다, 내뿜다; 발산하다"
20 단원,bay,"만(灣); 궁지, 몰린 상태"
20 단원,wetland,"습지, 습지대"
20 단원,regress,"되돌아가다; 퇴행[퇴보]하다; 귀환, 복귀; 퇴행[퇴보]"
20 단원,establishment,"설립[수립], 확립; 기관, 시설; 기득권층"
20 단원,randomization,무작위[임의] 추출
20 단원,adore,"흠모하다, 아주 좋아하다"
20 단원,cooperation,"협력, 협동"
20 단원,corporation,"기업[회사], 법인"
20 단원,remainder,"나머지, 잔여; (pl.)유적, 유물; 나머지의"
20 단원,reminder,"생각나게 하는 것[사람], (상기시키는) 신호[조언]"
20 단원,hypothetical,가설[가정]의; 가상적인
20 단원,complement,"보완(물), 보충(물); 보완하다, 보충하다"
20 단원,compliment,"칭찬, 찬사; 칭찬하다, 찬사를 보내다"
20 단원,discharge,"(짐을) 내리다; (개체 등을) 방출[배출]하다; 해고하다; 석방[해방]하다; 제대시키다; 이행하다; 방출, 배출(물); 해고; 해방[석방]; 제대"
20 단원,when it comes to,"~에 관한 한, ~에 대해서라면"
20 단원,in proportion to,"~에 비례하여, ~과 균형을 이루어"
20 단원,around the clock,"24시간 내내, 밤낮으로"
20 단원,for fear of,"~을 두려워하여, ~이 없도록"
20 단원,so as to do,"~하도록, ~하기 위해서"
20 단원,make a point of,"~을 꼭 하기로 되어 있다, ~을 늘 하다"
21 단원,genetic,유전(학)의
21 단원,minimize,"최소화하다; 과소평가하다, 얕보다"
21 단원,coordinate,"조정하다; 조직화[편성]하다; 동격의, 동등한"
21 단원,arrange,정리하다; 배열하다; (분쟁 등을) 조정하다; 준비[마련]하다
21 단원,amplify,"증폭시키다, 확대하다; 상세히 설명하다"
21 단원,bud,"싹을 틔우다, 발아하다; 싹, 눈; 꽃봉오리"
21 단원,intuition,직관(력); 직감
21 단원,dominance,"지배(력), 권세; 우세, 우위"
21 단원,empirical,"경험적인, 실증적인"
21 단원,cue,신호; 단서; 신호를 보내다
21 단원,obesity,"비만, 비대"
21 단원,rationalist,이성[합리]주의자
21 단원,estimation,"판단, 평가; 의견; 추정, 견적(액)"
21 단원,assessment,평가[사정]; 평가액
21 단원,agenda,"의제, 안건"
21 단원,immature,미숙한; 미완성의; 미성년
21 단원,subsequent,"그 후의, 뒤이은; 연속되는"
21 단원,consequent,"결과로 일어나는; (논리상) 필연의; 결론, 결과"
21 단원,latitude,"위도; 지역, 지방; (행동·사상 등의) 허용 범위"
21 단원,altitude,"고도, 높이; 높은 곳"
21 단원,temper,"기질, 성질; 기분; 차분함, 침착; 완화[경감]하다"
21 단원,immense,"거대한, 막대한; 엄청난"
21 단원,immerse,"몰입[몰두]하게 하다; (액체에) 가라앉히다, 잠그다"
21 단원,owe,"(돈을) 빚지고 있다; ~ 덕분이다, 신세[은혜]를 지고[입고] 있다; ~에게 (어떤 감정을) 품고 있다"
21 단원,an army of,많은 (수의); ~(의) 무리[집단]
21 단원,in stock,"비축되어, 재고로"
21 단원,at stake,"성패가 달려 있는, 위태로운"
21 단원,for one’s own sake,~ 자체를 위하여
21 단원,specialize in,"~을 전문으로 하다, ~을 전공하다"
21 단원,make for,~에 도움이 되다; ~ 쪽으로 가다[향하다]
22 단원,acquire,"얻다, 습득하다, (재산 등을) 취득하다"
22 단원,inhabitant,"주민, 거주자; 서식 동물"
22 단원,dedicate,"(시간·노력을) 바치다, 전념[헌신]하다"
22 단원,therapist,"치료 전문가, 치료사"
22 단원,envelope,"봉투, 싸는 것; 외피"
22 단원,envision,"마음에 그리다, 상상하다"
22 단원,visualize,"마음에 그리다, 상상하다; 시각화하다"
22 단원,capital,"자본(금), 자산; 수도; 대문자; 자본의, 자산의; 가장 중요한; 수도의; 대문자의"
22 단원,alignment,"일직선; 정돈, 정렬; 동맹, 제휴"
22 단원,disorder,"어수선함, 무질서; (심신 기능의) 장애"
22 단원,regime,"정권; 체제, 제도"
22 단원,impend,(위험 등이) 임박[절박]하다
22 단원,abuse,악용[남용/오용]하다; 악용[남용/오용]; 학대하다; 모욕하다; 학대; 모욕
22 단원,exemplify,예증[예시]하다; ~의 좋은 예가 되다
22 단원,oblige,"의무를 지우다, 강요하다; ~에게 은혜를 베풀다"
22 단원,compel,"강요[강제]하다, 억지로 시키다"
22 단원,landfill,(쓰레기) 매립지; (쓰레기) 매립
22 단원,flash,"번쩍임, 섬광; 번쩍이다, (빛을) 비추다"
22 단원,flush,"붉어지다, 상기되다; (물이) 쏟아져 나오다; 홍조; 물을 왈칵 쏟음"
22 단원,flesh,"살, 고기; 육체; 과육"
22 단원,optical,"눈의, 시각[시력]의; 광학의"
22 단원,optimal,"최선의, 최적의"
22 단원,optimistic,"낙관적인, 낙관하는"
22 단원,draft,"원고, 초안; 밑그림; 징병, 소집; 끌기, 견인(력); 초안을 작성하다; 밑그림을 그리다; 징병[소집]하다"
22 단원,at all costs,"어떤 대가를 치르더라도, 무슨 수를 써서라도"
22 단원,little more than,"~에 불과한, ~에 지나지 않는"
22 단원,at the sight of,~을 보고[보자마자]
22 단원,be armed with,~로 무장하다; ~을 갖추고 있다
22 단원,split up,~을 분리하다; 헤어지다
22 단원,make out,~을 이해하다[알다]; 문서 등을) 작성하다
23 단원,trample,"짓밟다, 밟아 뭉개다; 짓밟음"
23 단원,breathe,"숨을 쉬다, 호흡하다"
23 단원,integrate,통합되다[시키다]
23 단원,molecule,분자
23 단원,equip,(~에 필요물을) 갖추게 하다; 장비하다
23 단원,immigration,"이민, 이주; 이민자; 출입국 심사"
23 단원,tame,"길들여진, 순한; 길들이다"
23 단원,domesticate,"길들이다, 가축화하다; 재배하다"
23 단원,overall,"전체의, 종합[전반]적인; 전체적으로, 종합[전반]적으로"
23 단원,catastrophic,대이변[큰 재앙]의; 파멸적인
23 단원,devastating,"(완전히) 파괴적인, 황폐시키는"
23 단원,alley,골목(길); 오솔길
23 단원,indefinite,"한계가 없는, 무기한의; 분명하지 않은"
23 단원,accordance,"일치; 부합; 수여, 인가"
23 단원,obscure,"분명하지 않은, 모호한; 무명의; 어두운; 흐릿한; 어둡게 하다; 흐릿하게 하다; 모호하게 하다"
23 단원,blur,"흐림; 흐릿한 형체; 흐리게 하다, 흐려지다"
23 단원,consensus,"(의견 등의) 일치, 합의"
23 단원,conscientious,"양심적인, 성실한"
23 단원,stack,"더미[무더기]; 퇴적; 쌓다; 많음, 다량"
23 단원,stock,"재고(품); 비축; 주(식), 증권; 가문, 혈통; 종족; 비축하다"
23 단원,souvenir,"기념품, 선물"
23 단원,limb,"(사람·동물의) 팔[다리], (새의) 날개; (나무의) 큰 가지"
23 단원,limp,"기운이 없는, 축 처진; 절뚝거리다; 느릿느릿 가다; 절뚝거림"
23 단원,odd,"이상한, 특이한; 가끔[이따금]의; 홀수의, 한 짝의; 남은, 여분의"
23 단원,attend to,~을 돌보다; ~에 주의를 기울이다
23 단원,look out for,"~을 조심하다, ~에 주의하다"
23 단원,at variance with,~과 상충하는; ~와 사이가 안 좋은
23 단원,from one’s point of view,~의 관점에서 보면
23 단원,take ~ seriously,~을 진지하게[심각하게] 생각하다
23 단원,read between the lines,"행간을 읽다, 속뜻을 읽다"
24 단원,crop,(농)작물; 수확량; 자르다; (농작물을) 수확하다; 재배하다
24 단원,harvest,"수확, 추수; 수확물; 수확하다; 채취하다"
24 단원,statistic,"통계치, 통계량"
24 단원,mechanical,기계의; 기계로 작동되는; 기계학[역학]의
24 단원,mysterious,신비한; 불가사의한; 비밀의
24 단원,equivalent,같은; 상당[대응]하는; (~과) 같은 것; 대응물
24 단원,inherit,상속받다; (유전적으로) 물려받다
24 단원,transmission,전달[전파]; 전염; 송신; 방송
24 단원,drastic,"급격한; 과감한, 극단적인"
24 단원,gradual,"점진적인, 서서히 일어나는"
24 단원,caterpillar,"애벌레, 모충"
24 단원,acoustic,음향의; 청각의
24 단원,fetus,(임신 9주후의) 태아
24 단원,reinforcement,"보강, 강화; 보강재"
24 단원,altruist,이타주의자
24 단원,inevitability,"불가피함, 필연성"
24 단원,intake,"섭취(량), 흡입(량); (입학·채용 등의) 인원수"
24 단원,deplete,격감시키다; 고갈시키다
24 단원,replete,"가득 찬, 충만한; 포식을 한"
24 단원,marvel,"놀라운 일, 경이; 놀라다, 경탄하다"
24 단원,marble,대리석; 구슬; 대리석의
24 단원,improvise,즉석에서 하다[만들다]; 즉흥 연주를 하다
24 단원,impoverish,"가난하게 하다; (질을) 떨어뜨리다, 저하시키다"
24 단원,prompt,"즉석의, 즉각적인; 신속한, 기민한; 시간을 엄수하는; 자극하다, 촉진하다; (사상·감정을) 불어넣다"
24 단원,attribute to,"~ 때문이라 여기다, ~ 덕분으로 돌리다"
24 단원,make room for,~을 위한 공간을 만들다; ~에게 자리를 양보하다
24 단원,be accompanied by,~와 동반하다; ~을 수반하다
24 단원,in retrospect,돌이켜 생각해 보면
24 단원,take the place of,~을 대신[대리]하다
24 단원,rip away,~을 떼내다[벗기다]
25 단원,evolution,"진화; 발전, 진전"
25 단원,aesthetic,"미학적인, 미적인; 미적 특질, 미학"
25 단원,merchant,상인
25 단원,privilege,"특권, 특혜; ~에게 특권을 주다"
25 단원,magnify,확대하다; 과장하다
25 단원,exaggerate,과장하다; 지나치게 강조하다
25 단원,animate,생명을 주다; 활기를 띠게 하다; 만화 영화로 하다; 생명이 있는; 활기 있는
25 단원,inspection,"조사, 점검; 시찰"
25 단원,leak,"누출; 새는 곳; (비밀의) 누설[유출]; 새다, 새게 하다; 누설[유출]하다"
25 단원,enlightenment,"계몽[계발]; 계몽 운동; 깨달음, 이해"
25 단원,insight,"통찰력; 이해, 간파"
25 단원,chamber,"방, (특정 목적용) 실"
25 단원,flourish,"번성[번영]하다; (동식물이) 성장하다, 무성하다"
25 단원,remark,"주목, 인지; 주목하다, 인지하다; 언급, 논평; 언급하다, 논하다"
25 단원,intensity,"강렬함, 격렬함; 강도, 세기"
25 단원,severity,"격렬, 혹독; 엄격, 엄함"
25 단원,turmoil,혼란; 소란[소동]
25 단원,adapt,"적응하다, 순응시키다; 각색[편곡]하다"
25 단원,adopt,"채택하다, 받아들이다; 입양하다"
25 단원,despise,"경멸하다, 멸시하다; 혐오하다"
25 단원,despite,prep. ~에도 불구하고
25 단원,reside,"살다, 거주하다; 존재하다, 있다"
25 단원,resign,사직[사임]하다; (권리 등을) 포기하다
25 단원,bear,"참다, 견디다; (무게를) 지탱하다; (아이를) 낳다; (열매를) 맺다; (책임 등을) 감당하다, 떠맡다; (칭호·특징 등을) 가지다, 지니다"
25 단원,be obliged to do,"~해야 하다, 하는 수 없이 ~하다"
25 단원,miss out on,~을 놓치다
25 단원,be comprised of,~으로 구성되다[이루어지다]
25 단원,get in the way of,~에 방해가 되다
25 단원,tear down,~을 허물다[철거하다]; ~을 파괴하다
25 단원,rob ~ of …,~에게서 …을 앗아 가다
26 단원,intelligence,"지능, 사고력; 지성; 정보, 기밀"
26 단원,appeal,간청[애원]하다; (법 등에) 호소하다; 흥미[관심]를 끌다; 간청[애원]; 호소; 매력
26 단원,formula,"공식, 식; (일정한) 방식, 법칙"
26 단원,myth,"신화; 근거 없는 믿음, 통념"
26 단원,scatter,"(흩)뿌리다, 살포하다; 흩어지다, 흐트러뜨리다"
26 단원,assemble,"모이다, 모으다, 집합시키다; (기계 등을) 조립하다"
26 단원,forage,(식량·먹이를) 찾아 돌아다니다; (소·말의) 사료
26 단원,mandate,(권한) 위임; ~에게 권한을 위임하다; 명령[지시]; 명령[지시]하다
26 단원,landmark,"획기적인 사건[발견]; 주요 지형지물, 역사적 건물"
26 단원,monument,"기념비; 유물, 유적"
26 단원,foliage,(한 그루 초목의) 잎
26 단원,commentary,논평; 해설
26 단원,parameter,한도[한계]; (한정) 요소; 매개 변수
26 단원,fond,"좋아하는; 애정이 담긴, 다정한"
26 단원,appoint,임명[지명]하다; (시간·장소를) 정하다
26 단원,designate,지시[명시]하다; 지명[임명]하다; 지정하다
26 단원,undertake,"떠맡다, 책임을 지다; 착수하다"
26 단원,crave,갈망[열망]하다
26 단원,carve,"새기다, 조각하다"
26 단원,stationary,정지한; 고정된; 변화가 없는
26 단원,stationery,문구류; 문방구
26 단원,overlook,내려다보다; 간과하다; 눈감아 주다; 감독[감시]하다
26 단원,overload,"과적하다; 지나치게 부담시키다; 과적, 과부하"
26 단원,spell,"철자를 말하다[쓰다]; 주문, 마법; 매력, 매혹; 잠깐의 시간, 한동안"
26 단원,draw on,~을 활용하다; ~에 의지하다
26 단원,on hand,"이용할 수 있는, 구할[얻을] 수 있는"
26 단원,be confined to,~에 국한[한정]되다
26 단원,get over,"(곤란을) 극복하다, ~을 넘다; (병에서) 회복되다"
26 단원,the other way around,"반대로, 거꾸로"
26 단원,rush out of,"~로부터 (급히) 달려 나오다, ~로부터 빠져나오다"
27 단원,suppose,"가정하다, 상상하다; 생각하다, 추정하다"
27 단원,foster,"촉진하다, 육성[조장]하다; 기르다, 양육하다"
27 단원,gratify,기쁘게 하다; 만족[충족]시키다
27 단원,partial,"부분적인, 불완전한; 편애하는; 편파적인"
27 단원,suburb,"교외, 근교"
27 단원,fungus,"균류, 곰팡이류; 버섯(pl. fungi)"
27 단원,manifest,"명백한, 분명한; 명시하다; (감정 등을) 표명하다; 증명하다; (재귀적 용법) 나타내다"
27 단원,facilitate,가능하게[용이하게] 하다; 촉진하다
27 단원,confrontation,"대치, 직면"
27 단원,penetrate,"관통하다, 침투하다; (의미 등을) 간파하다"
27 단원,pierce,"뚫다, 관통하다; 간파하다, 통찰하다"
27 단원,intersection,"가로지름, 교차; 교차 지점"
27 단원,uneven,"평평하지 않은, 울퉁불퉁한; 불규칙한; 고르지 않은"
27 단원,ridiculous,우스운; 터무니없는
27 단원,armor,갑옷; ~에게 갑옷을 입히다
27 단원,antagonistic,"적대적인, 반대의"
27 단원,hostile,"적의; 적대하는, 반대하는"
27 단원,vein,정맥; 혈관; (식물의) 잎맥
27 단원,vain,"헛된, 무익한; 자만심이 강한, 허영적인"
27 단원,simulate,"가장하다, 흉내 내다; 모의 실험[시뮬레이션]하다"
27 단원,stimulate,자극[고무]하다; 기운을 돋우다
27 단원,probe,"철저히 조사하다, 탐사[탐구]하다; 철저한 조사; 무인 우주 탐사선"
27 단원,prove,"입증[증명]하다, ~으로 판명되다"
27 단원,bow,"절하다, (고개를) 숙이다; 굴종[굴복]하다; 절, 인사; (바이올린 등을) 활로 연주하다[켜다]; 활; 곡선; 나비 매듭"
27 단원,in accordance with,"~에 따라(서), ~에 부합되게"
27 단원,out of the blue,"갑자기, 난데없이"
27 단원,be curious about,"~을 궁금해하다, ~을 알고 싶다"
27 단원,give in to,(~에) 굴복[항복]하다
27 단원,to the extent that,"~하는 정도까지, ~의 범위에서"
27 단원,rush through,~을 서둘러 처리하다
28 단원,reputation,"평판, 명성"
28 단원,prestige,"위신, 명성; 위신 있는, 일류의"
28 단원,grab,"붙잡다, 움켜잡다; 가로채다, 횡령하다; 잡아채기, 움켜쥐기; 강탈, 횡령"
28 단원,plasticity,"가소성; 적응성, 유연성"
28 단원,theorist,이론가
28 단원,gut,"소화관; 장(腸); (pl.)용기, 배짱; 직감; 직감에 따른"
28 단원,metaphorical,은유[비유]의
28 단원,utensil,"(가정에서 사용하는) 기구, 도구"
28 단원,setback,"방해, 차질; 좌절, 패배"
28 단원,reversal,"반전, 역전; 좌절, 실패"
28 단원,wreckage,"난파, 난선; (난파선의) 잔해"
28 단원,nutritional,영양(상)의
28 단원,decode,(암호를) 해독하다; 의미를 이해하다
28 단원,affection,"애착, 호의; (pl.)애정; 감정, 기분"
28 단원,scope,"(관찰·활동의) 범위, 영역; 기회, 여지; 조사하다"
28 단원,artifact,인공물; 공예품
28 단원,niche,"(꼭 알맞은) 지위[자리], 적소; (시장의) 틈새"
28 단원,friction,"마찰 (저항); 알력, 불화"
28 단원,fraction,"부분, 일부; 아주 조금; 파편; 분수"
28 단원,ascribe,(원인·기원을) ~에 돌리다; ~에 속하는 것으로 생각하다
28 단원,inscribe,"쓰다, 새기다; 헌정[증정]하다"
28 단원,exploration,탐험[답사]; 탐구
28 단원,exploitation,"개발, 개척; 이용, 착취"
28 단원,appreciation,"진가를 알기, 올바른 인식; 감상, 이해; 감사, 존중; (상황·인물에 대한) 평가, 의견"
